rank,class_path,nsmells,loc,selected
201,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCClassFileTransformer.java,88,294,false
202,openjpa-examples/opentrader/src/main/java/org/apache/openjpa/trader/service/BufferedLog.java,88,241,false
203,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/SubqueryImpl.java,87,407,false
204,openjpa-kernel/src/main/java/org/apache/openjpa/util/proxy/DelayedTreeSetProxy.java,86,533,false
205,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/FromImpl.java,86,336,false
206,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java,86,244,false
207,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCState.java,85,493,false
208,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingStatement.java,85,357,false
209,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java,85,246,false
210,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CollectionParam.java,85,213,false
211,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/StoredProcedureQueryImpl.java,84,422,false
212,openjpa-kernel/src/main/java/org/apache/openjpa/meta/AccessCode.java,84,260,false
213,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingPreparedStatementManagerImpl.java,83,367,false
214,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy.java,83,350,false
215,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/UniqueResultObjectProvider.java,83,215,false
216,openjpa-kernel/src/main/java/org/apache/openjpa/util/proxy/DelayedArrayListProxy.java,82,486,false
217,openjpa-examples/openbooks/src/main/java/openbook/tools/CommandProcessor.java,82,358,false
218,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataTool.java,82,356,false
219,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExtentImpl.java,81,378,false
220,openjpa-kernel/src/main/java/org/apache/openjpa/meta/InterfaceImplGenerator.java,81,244,false
221,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ElementEmbedValueHandler.java,81,207,false
222,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ObjectIdValueHandler.java,81,184,false
223,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JSONObject.java,80,246,false
224,openjpa-jest/src/main/java/org/apache/openjpa/json/JSONObject.java,80,246,false
225,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java,80,243,false
226,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GeneralCaseExpression.java,80,230,false
227,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Localizer.java,79,312,false
228,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/MultiLogFactory.java,78,217,false
229,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/PathImpl.java,77,329,false
230,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationBuilder.java,77,200,false
231,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLStoreManager.java,76,299,false
232,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ClearableScheduler.java,76,273,false
233,openjpa-kernel/src/main/java/org/apache/openjpa/util/proxy/DelayedPriorityQueueProxy.java,75,457,false
234,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapInverseKeyFieldStrategy.java,75,225,false
235,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/validation/ValidatorImpl.java,74,394,false
236,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/TypedProperties.java,74,335,false
237,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java,74,276,false
238,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java,74,230,false
